File Code,BLS Code,BLS Region,BLS Region 2,Scenario Code,Scenario,Time_Slice,CO2 effects,CO2 ppm,Adapt- ation,wheat,rice,coarse grains,protein feed,,grains,four commo-dities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,1,GISS,Equilibrium,No,330,No,-46,-46,-17,-17,,-36,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,2,GISS,Equilibrium,Yes,555,No,-34,-35,-13,0,,-27,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,3,GISS,Equilibrium,Yes,555,Level 1,-15,-15,0,17,,-10,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,4,GISS,Equilibrium,Yes,555,Level 2,0,0,0,17,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,5,GFDL,Equilibrium,No,330,No,-43,-43,-28,-28,,-38,-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,6,GFDL,Equilibrium,Yes,555,No,-31,-32,-24,-11,,-29,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,7,GFDL,Equilibrium,Yes,555,Level 1,-11,-11,-10,6,,-11,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,8,GFDL,Equilibrium,Yes,555,Level 2,-6,-6,-5,6,,-6,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,9,UKMO,Equilibrium,No,330,No,-52,-52,-25,-25,,-43,-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,10,UKMO,Equilibrium,Yes,555,No,-40,-41,-21,-8,,-34,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,11,UKMO,Equilibrium,Yes,555,Level 1,-20,-20,-7,9,,-16,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,12,UKMO,Equilibrium,Yes,555,Level 2,-10,-10,-3,9,,-8,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,25,CM3-A,2020,No,330,Level 1,-2,-2,-4,1,,-3,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,26,CM3-A,2020,Yes,475,Level 1,4,2,0,9,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,27,CM3-A,2050,No,330,Level 1,-7,-7,-9,-1,,-8,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,28,CM3-A,2050,Yes,574,Level 1,5,4,-5,16,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,29,CM3-A,2080,No,330,Level 1,-10,-10,-14,-7,,-11,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,30,CM3-A,2080,Yes,712,Level 1,7,6,-8,16,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,31,CM2-S550,2020,No,330,Level 1,-2,-2,-1,3,,-2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,32,CM2-S550,2020,Yes,410,Level 1,3,1,1,10,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,33,CM2-S550,2050,No,330,Level 1,-2,-2,-4,1,,-3,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,34,CM2-S550,2050,Yes,458,Level 1,6,3,-2,12,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,35,CM2-S550,2080,No,330,Level 1,-3,-3,-4,2,,-3,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,36,CM2-S550,2080,Yes,498,Level 1,8,7,-1,16,,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,37,CM2-S550,2110,No,330,Level 1,-3,-3,1,7,,-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,38,CM2-S550,2110,Yes,530,Level 1,7,5,4,21,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,39,CM2-S750,2020,No,330,Level 1,-1,-1,-2,2,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Argentina,Argentina,40,CM2-S750,2020,Yes,424,Level 1,3,1,-1,8,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
